"Country Code","Region","IncomeGroup","SpecialNotes","TableName"
"ABW","Latin America & Caribbean","High income",null,"Aruba"
"AFE",null,null,"""26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)""","Africa Eastern and Southern"
"AFG","South Asia","Low income","Fiscal year end: March 20; reporting period for national accounts data: FY.","Afghanistan"
"AFW",null,null,"""22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)""","Africa Western and Central"
"AGO","Sub-Saharan Africa","Lower middle income",null,"Angola"
"ALB","Europe & Central Asia","Upper middle income",null,"Albania"
"AND","Europe & Central Asia","High income",null,"Andorra"
"ARB",null,null,"Arab World aggregate. Arab World is composed of members of the League of Arab States.","Arab World"
"ARE","Middle East & North Africa","High income",null,"United Arab Emirates"
"ARG","Latin America & Caribbean","Upper middle income",null,"Argentina"
"ARM","Europe & Central Asia","Upper middle income",null,"Armenia"
"ASM","East Asia & Pacific","Upper middle income",null,"American Samoa"
"ATG","Latin America & Caribbean","High income",null,"Antigua and Barbuda"
"AUS","East Asia & Pacific","High income","Fiscal year end: June 30; reporting period for national accounts data: FY.","Australia"
"AUT","Europe & Central Asia","High income","""A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.""","Austria"
"AZE","Europe & Central Asia","Upper middle income",null,"Azerbaijan"
"BDI","Sub-Saharan Africa","Low income",null,"Burundi"
"BEL","Europe & Central Asia","High income","""A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.""","Belgium"
"BEN","Sub-Saharan Africa","Lower middle income",null,"Benin"
"BFA","Sub-Saharan Africa","Low income",null,"Burkina Faso"
"BGD","South Asia","Lower middle income","Fiscal year end: June 30; reporting period for national accounts data: FY.","Bangladesh"
"BGR","Europe & Central Asia","Upper middle income",null,"Bulgaria"
"BHR","Middle East & North Africa","High income",null,"Bahrain"
"BHS","Latin America & Caribbean","High income",null,"""Bahamas, The"""
"BIH","Europe & Central Asia","Upper middle income",null,"Bosnia and Herzegovina"
"BLR","Europe & Central Asia","Upper middle income","""Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)""","Belarus"
"BLZ","Latin America & Caribbean","Lower middle income",null,"Belize"
"BMU","North America","High income",null,"Bermuda"
"BOL","Latin America & Caribbean","Lower middle income",null,"Bolivia"
"BRA","Latin America & Caribbean","Upper middle income",null,"Brazil"
"BRB","Latin America & Caribbean","High income",null,"Barbados"
"BRN","East Asia & Pacific","High income",null,"Brunei Darussalam"
"BTN","South Asia","Lower middle income",null,"Bhutan"
"BWA","Sub-Saharan Africa","Upper middle income",null,"Botswana"
"CAF","Sub-Saharan Africa","Low income",null,"Central African Republic"
"CAN","North America","High income","Fiscal year end: March 31; reporting period for national accounts data: CY.","Canada"
"CEB",null,null,"Central Europe and the Baltics aggregate.","Central Europe and the Baltics"
"CHE","Europe & Central Asia","High income",null,"Switzerland"
"CHI","Europe & Central Asia","High income",null,"Channel Islands"
"CHL","Latin America & Caribbean","High income",null,"Chile"
"CHN","East Asia & Pacific","Upper middle income","""On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.""","China"
"CIV","Sub-Saharan Africa","Lower middle income",null,"Côte d'Ivoire"
"CMR","Sub-Saharan Africa","Lower middle income",null,"Cameroon"
"COD","Sub-Saharan Africa","Low income",null,"""Congo, Dem. Rep."""
"COG","Sub-Saharan Africa","Lower middle income",null,"""Congo, Rep."""
"COL","Latin America & Caribbean","Upper middle income",null,"Colombia"
"COM","Sub-Saharan Africa","Lower middle income",null,"Comoros"
"CPV","Sub-Saharan Africa","Lower middle income",null,"Cabo Verde"
"CRI","Latin America & Caribbean","Upper middle income",null,"Costa Rica"
"CSS",null,null,null,"Caribbean small states"
"CUB","Latin America & Caribbean","Upper middle income",null,"Cuba"
"CUW","Latin America & Caribbean","High income",null,"Curaçao"
"CYM","Latin America & Caribbean","High income",null,"Cayman Islands"
"CYP","Europe & Central Asia","High income","""A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.""","Cyprus"
"CZE","Europe & Central Asia","High income",null,"Czech Republic"
"DEU","Europe & Central Asia","High income",null,"Germany"
"DJI","Middle East & North Africa","Lower middle income",null,"Djibouti"
"DMA","Latin America & Caribbean","Upper middle income",null,"Dominica"
"DNK","Europe & Central Asia","High income",null,"Denmark"
"DOM","Latin America & Caribbean","Upper middle income",null,"Dominican Republic"
"DZA","Middle East & North Africa","Lower middle income",null,"Algeria"
"EAP",null,null,null,"East Asia & Pacific (excluding high income)"
"EAR",null,null,"Early-dividend countries are mostly lower-middle-income countries further along the fertility transition. Fertility rates have fallen below four births per woman and the working-age share of the population is likely rising considerably.","Early-demographic dividend"
"EAS",null,null,"East Asia and Pacific regional aggregate (includes all income levels).","East Asia & Pacific"
"ECA",null,null,null,"Europe & Central Asia (excluding high income)"
"ECS",null,null,"Europe and Central Asia regional aggregate (includes all income levels).","Europe & Central Asia"
"ECU","Latin America & Caribbean","Upper middle income",null,"Ecuador"
"EGY","Middle East & North Africa","Lower middle income","Fiscal year end: June 30; reporting period for national accounts data: FY for years 1980 and after. The data from 1973 to 1979 are calendar year data.","""Egypt, Arab Rep."""
"EMU",null,null,"Euro area aggregate.","Euro area"
"ERI","Sub-Saharan Africa","Low income",null,"Eritrea"
"ESP","Europe & Central Asia","High income","""A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.""","Spain"
"EST","Europe & Central Asia","High income","""The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.""","Estonia"
"ETH","Sub-Saharan Africa","Low income","Fiscal year end: July 7; reporting period for national accounts data: FY.","Ethiopia"
"EUU",null,null,"European Union aggregate.","European Union"
"FCS",null,null,"""Fragile and conflict-affected situations aggregate.\n\nCountries are distinguished based on the nature and severity of issues they face. The classification uses the following categories:\n\n- Countries with high levels of institutional and social fragility, identified based on publicly available indicators that measure the quality of policy and institutions and manifestations of fragility.\n- Countries affected by violent conflict, identified based on a threshold number of conflict-related deaths relative to the population. This category includes two sub-categories based on the intensity of violence: countries in high-intensity conflict and countries in medium-intensity conflict.\n\nFor more information, please visit https://www.worldbank.org/en/topic/fragilityconflictviolence/brief/harmonized-list-of-fragile-situations.""","Fragile and conflict affected situations"
"FIN","Europe & Central Asia","High income","""A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.""","Finland"
"FJI","East Asia & Pacific","Upper middle income",null,"Fiji"
"FRA","Europe & Central Asia","High income","""The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.""","France"
"FRO","Europe & Central Asia","High income",null,"Faroe Islands"
"FSM","East Asia & Pacific","Lower middle income","""Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised.""","""Micronesia, Fed. Sts."""
"GAB","Sub-Saharan Africa","Upper middle income",null,"Gabon"
"GBR","Europe & Central Asia","High income",null,"United Kingdom"
